date,M2++ (gross),CPI,Bank Rate
1996-01-01,4.8,88,5.73
1996-02-01,5.8,88.1,5.39
1996-03-01,6.5,88.5,5.5
1996-04-01,6.6,88.7,5.25
1996-05-01,7,89,5
1996-06-01,6.9,89,5
1996-07-01,6.5,89,5
1996-08-01,6.5,89,4.75
1996-09-01,6.5,89.1,4.25
1996-10-01,6.9,89.3,4
1996-11-01,7.4,89.7,3.5
1996-12-01,7.4,89.7,3.25
1997-01-01,7.7,89.9,3.25
1997-02-01,7.7,90.1,3.25
1997-03-01,7.6,90.2,3.25
1997-04-01,7.8,90.2,3.25
1997-05-01,7.5,90.3,3.25
1997-06-01,7.2,90.5,3.25
1997-07-01,7.2,90.5,3.5
1997-08-01,7.1,90.6,3.5
1997-09-01,6.9,90.6,3.5
1997-10-01,6.8,90.6,3.75
1997-11-01,6.4,90.5,3.75
1997-12-01,6.3,90.4,4
1998-01-01,6.1,90.9,4.5
1998-02-01,5.5,91,5
1998-03-01,5.3,91.1,5
1998-04-01,5.2,91,5
1998-05-01,5.3,91.3,5
1998-06-01,5.2,91.4,5
1998-07-01,5.7,91.4,5
1998-08-01,5.8,91.4,5
1998-09-01,5.9,91.2,6
1998-10-01,5.9,91.6,5.75
1998-11-01,5.8,91.6,5.5
1998-12-01,5.7,91.3,5.25
1999-01-01,6,91.5,5.25
1999-02-01,6.1,91.6,5.25
1999-03-01,6.1,92,5.25
1999-04-01,6.1,92.5,5
1999-05-01,6,92.7,4.75
1999-06-01,6,92.9,4.75
1999-07-01,5.9,93.1,4.75
1999-08-01,5.9,93.3,4.75
1999-09-01,5.8,93.6,4.75
1999-10-01,5.9,93.7,4.75
1999-11-01,5.9,93.6,4.75
1999-12-01,6,93.7,5
2000-01-01,5.8,93.5,5
2000-02-01,6.3,94.1,5
2000-03-01,6.8,94.8,5.25
2000-04-01,7,94.5,5.5
2000-05-01,6.8,94.9,5.5
2000-06-01,7.1,95.5,6
2000-07-01,7.2,95.8,6
2000-08-01,7.1,95.7,6
2000-09-01,7.3,96.1,6
2000-10-01,7.3,96.3,6
2000-11-01,7.3,96.6,6
2000-12-01,7.8,96.7,6
2001-01-01,7.8,96.3,6
2001-02-01,7.9,96.8,5.75
2001-03-01,7.6,97.1,5.25
2001-04-01,7.1,97.8,5.25
2001-05-01,7.4,98.6,5
2001-06-01,6.9,98.7,4.75
2001-07-01,6.9,98.4,4.75
2001-08-01,6.8,98.4,4.5
2001-09-01,7.3,98.6,4.25
2001-10-01,7.6,98.1,3.75
2001-11-01,8,97.2,3
2001-12-01,7.7,97.4,2.5
2002-01-01,7.6,97.6,2.5
2002-02-01,7.4,98.2,2.5
2002-03-01,7.1,98.9,2.25
2002-04-01,6.9,99.5,2.25
2002-05-01,6.4,99.7,2.25
2002-06-01,6.7,99.9,2.5
2002-07-01,6.5,100.5,2.75
2002-08-01,6.5,100.9,2.75
2002-09-01,5.8,100.9,3
2002-10-01,5.5,101.2,3
2002-11-01,4.8,101.5,3
2002-12-01,4.1,101.1,3
2003-01-01,3.7,102,3
2003-02-01,3.4,102.8,3
2003-03-01,3.1,103.1,3
2003-04-01,2.9,102.4,3.25
2003-05-01,3,102.5,3.25
2003-06-01,3.1,102.5,3.5
2003-07-01,3.4,102.6,3.5
2003-08-01,3.5,102.9,3.5
2003-09-01,3.5,103.1,3.25
2003-10-01,3.2,102.8,3
2003-11-01,3.5,103.1,3
2003-12-01,3.9,103.2,3
2004-01-01,4.2,103.3,3
2004-02-01,4.5,103.5,3
2004-03-01,4.9,103.9,2.75
2004-04-01,5.4,104.1,2.5
2004-05-01,5.6,105,2.5
2004-06-01,5.7,105.1,2.25
2004-07-01,5.4,105,2.25
2004-08-01,5.2,104.8,2.25
2004-09-01,5,105,2.25
2004-10-01,5.2,105.2,2.25
2004-11-01,5.1,105.6,2.5
2004-12-01,5.3,105.4,2.75
2005-01-01,5.4,105.3,2.75
2005-02-01,5.5,105.7,2.75
2005-03-01,5.4,106.3,2.75
2005-04-01,5.4,106.6,2.75
2005-05-01,5.3,106.7,2.75
2005-06-01,5.2,106.9,2.75
2005-07-01,5.2,107.1,2.75
2005-08-01,5.3,107.5,2.75
2005-09-01,5.8,108.4,3
2005-10-01,6.1,107.9,3
2005-11-01,6.2,107.7,3.25
2005-12-01,6.3,107.6,3.5
2006-01-01,6.3,108.2,3.5
2006-02-01,6.5,108,3.75
2006-03-01,6.7,108.6,3.75
2006-04-01,6.8,109.2,4
2006-05-01,6.7,109.7,4.25
2006-06-01,6.7,109.5,4.5
2006-07-01,7.2,109.6,4.5
2006-08-01,7.5,109.8,4.5
2006-09-01,7.6,109.2,4.5
2006-10-01,7.6,109,4.5
2006-11-01,8,109.2,4.5
2006-12-01,8.2,109.4,4.5
2007-01-01,8.5,109.4,4.5
2007-02-01,8.5,110.2,4.5
2007-03-01,8.8,111.1,4.5
2007-04-01,8.8,111.6,4.5
2007-05-01,8.9,112.1,4.5
2007-06-01,9.1,111.9,4.5
2007-07-01,9.4,112,4.5
2007-08-01,9.3,111.7,4.75
